Model,MAE,RMSE,R2,Adjusted_R2,MAPE
Gradient Boosting,0.41751369937105637,0.6037660543818464,0.9999306305075724,0.9999265066311648,0.30828633152602686
Linear Regression,0.653401782827427,1.0043256762274608,0.9998080534703626,0.999796642636329,0.5657225111844751
Ridge Regression,0.6586057692578747,1.012958976829498,0.9998047392973217,0.9997931314423855,0.563016831019933
Random Forest,0.9284508669007957,1.33933641755234,0.9996586416831832,0.9996383486197631,0.6539834587450059
Decision Tree,1.0166062770562763,1.4066046293657337,0.9996234911250803,0.9996011084318791,0.7500038102983674
Lasso Regression,1.1725067274689696,1.7326993279545924,0.9994286824741765,0.9993947187996053,0.8623703669957867
Support Vector Machine,3.567131947789803,5.163739620325797,0.9949258908769198,0.9946242453239554,2.8330276772816068
